"DESCRICAO","QTD"
"Extração de gemas (pedras preciosas e semipreciosas)",7543
"Fabricação de cigarrilhas e charutos",213
"Cultivo de mudas em viveiros florestais",6733
"Atividades de apoio à extração de minerais não-metálicos",42153
"Fabricação de aguardente de cana-de-açúcar",7451
"Fabricação de conservas de legumes e outros vegetais, exceto palmito",19559
"Criação de ostras e mexilhões em água salgada e salobra",301
"Pelotização, sinterização e outros beneficiamentos de minério de ferro",1045
"Coleta de outros produtos aquáticos de água doce",548
"Extração de minério de manganês",1383
"Criação de ovinos, inclusive para produção de lã",9445
"Cultivo de mamão",3668
"Extração de sal-gema",73
"Fabricação de artefatos de couro não especificados anteriormente",39923
"Fabricação de conservas de frutas",48437
"Fabricação de produtos derivados do cacau e de chocolates",86363
"Extração de granito e beneficiamento associado",6862
"Beneficiamento de arroz",9617
"Criação de camarões em água doce",2503
"Fabricação de calçados de material sintético",7016
"Criação de camarões em água salgada e salobra",2588
"Extração de basalto e beneficiamento associado",1811
"Cultivo de mamona",961
"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas",4777
"Extração de gesso e caulim",792
"Fabricação de sorvetes e outros gelados comestíveis",25309
"Cultivo de chá-da-índia",296
"Serviço de tosquiamento de ovinos",1625
"Cultivo de dendê",393
"Extração de quartzo",1622
"Moagem de trigo e fabricação de derivados",3208
"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente",1777
"Preparação e fiação de fibras têxteis naturais, exceto algodão",2261
"Cultivo de batata-inglesa",8291
"Fabricação de especiarias, molhos, temperos e condimentos",21025
"Fabricação de amidos e féculas de vegetais",4871
"Preparação e fiação de fibras de algodão",3691
"Extração e beneficiamento de areias betuminosas",235
"Preservação de peixes, crustáceos e moluscos",4471
"Tecelagem de fios de fibras artificiais e sintéticas",2236
"Cultivo de maracujá",7264
"Fabricação de conservas de peixes, crustáceos e moluscos",3648
"Moagem e fabricação de produtos de origem vegetal não especificados anteriormente",10172
"Serviço de pulverização e controle de pragas agrícolas",29250
"Produção de casca de acácia-negra - florestas plantadas",188
"Extração de petróleo e gás natural",1956
"Criação de jacaré",125
"Pesca de crustáceos e moluscos em água salgada",1603
"Criação de peixes ornamentais em água doce",9676
"Pesca de peixes em água doce",10328
"Fabricação de cervejas e chopes",4192
"Criação de peixes ornamentais em água salgada e salobra",3150
"Extração de minério de metais preciosos",5801
"Extração de amianto",112
"Fabricação de óleo de milho em bruto",494
"Extração de minério de tungstênio",308
"Frigorífico - abate de bovinos",10696
"Beneficiamento de café",2487
"Fabricação de filtros para cigarros",58
"Criação de ostras e mexilhões em água doce",214
"Cultivo de outras plantas de lavoura temporária não especificadas anteriormente",56687
"Curtimento e outras preparações de couro",12475
"Matadouro - abate de suínos sob contrato",1745
"Cultivo de pinus",6412
"Extração de sal marinho",1326
"Atividades de apoio à extração de minerais metálicos não-ferrosos",6850
"Criação de asininos e muares",1773
"Cultivo de tomate rasteiro",11079
"Fabricação de massas alimentícias",108765
"Cultivo de banana",17167
"Cultivo de melão",1662
"Fiação de fibras artificiais e sintéticas",1189
"Cultivo de feijão",40331
"Extração de minério de estanho",739
"Fabricação de alimentos e pratos prontos",147607
"Fabricação de óleos vegetais em bruto, exceto óleo de milho",3528
"Fabricação de óleos vegetais refinados, exceto óleo de milho",1638
"Atividades de apoio à pesca em água salgada",1504
"Fabricação de alimentos dietéticos e complementos alimentares",1022
"Fabricação de produtos de carne",49830
"Fabricação de produtos do arroz",3382
"Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente",972
"Cultivo de coco-da-baía",2222
"Extração de ardósia e beneficiamento associado",12393
"Fabricação de produtos de panificação",7
"Criação de peixes em água doce",29483
"Fabricação de artefatos de tapeçaria",22687
"Frigorífico - abate de suínos",3574
"Caça e serviços relacionados",282
"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",43554
"Fabricação de farinha de milho e derivados, exceto óleos de milho",6892
"Cultivo de plantas para condimento, exceto pimenta-do-reino",1516
"Extração de saibro e beneficiamento associado",2459
"Cultivo de juta",95
"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",7710
"Beneficiamento de minério de metais preciosos",1820
"Extração e beneficiamento de xisto",69
"Fabricação de alimentos para animais",16463
"Fabricação de artefatos de cordoaria",2652
"Criação de outros galináceos, exceto para corte",3494
"Cultivo de amendoim",15167
"Fabricação de tecidos de malha",9241
"Beneficiamento de minério de estanho",448
"Fabricação de cigarros",1022
"Cultivo de cítricos, exceto laranja",21218
"Extração de argila e beneficiamento associado",7150
"Fabricação de produtos de padaria e confeitaria com predominância de produção própria",371004
"Frigorífico - abate de ovinos e caprinos",1722
"Produção de mudas e outras formas de propagação vegetal, certificadas",17773
"Horticultura, exceto morango",87573
