,empresa,national_partner,international_partner
114,03702190-APPOIO RESSARCIMENTO DE SEGUROS LTDA,4,0
115,03702547-RADIO SANTA TEREZA DO OESTE LTDA,4,0
116,03703204-LANCHONETE ACAPULCO LTDA,3,0
117,03703583-STO - SERVICOS DE TRAUMA E ORTOPEDIA LTDA,2,0
118,03703619-LAGAR EMPREENDIMENTOS IMOBILIARIOS LTDA.,4,0
119,03703997-DENTPHARMA COMERCIO IMPORTACAO E REPRESENTACAO LTDA,2,0
120,03704351-PATIO BOAVISTA SHOPPING LTDA,8,0
121,03704427-LILAS COMERCIO E REPRESENTACOES LTDA,2,0
122,03704498-ADMINISTRADORA HOSPITALAR SAO LUIZ LTDA.,6,0
123,03704521-CENTRO EDUCACIONAL PINTANDO AS LETRAS DE FRIBURGO LTDA,2,0
124,03704565-MAX CONTROL SYSTEMS BRASIL LTDA,2,0
125,03704575-ALECA DO BRASIL LTDA.,2,0
126,03704651-CONTROLLER CONSULTORIA E ASSESSORIA LTDA,6,0
127,03704809-ECHEMTRADE ENERGY & PETROCHEMICALS LTDA,3,0
128,03704986-GR GUARULHOS ADMINISTRACAO E PARTICIPACOES LTDA.,1,0
129,03705032-FINOTTI & FIDELIS LTDA,4,0
130,"03705088-ART BAUHAUS ADMINISTRACAO, HOTELARIA, COMERCIO E SERVICOS LTDA",3,0
131,03705140-FORT KNOX TECNOLOGIA DE SEGURANCA LTDA,3,0
132,03705250-AVNET COMPONENTS BRASIL PARTICIPACOES LTDA,1,0
133,03705616-CAMSO INDUSTRIA DE PRODUTOS DE BORRACHA LTDA.,2,0
134,03705935-DJT TRANSPORTES E COMERCIO LTDA,4,0
135,03705950-ACEK LTDA,4,0
136,03706035-NORTE & SUL HOTELARIA LTDA,2,0
137,03706055-FORMULA 1 AGROPECUARIA LTDA,3,0
138,03706460-BDP SOUTH AMERICA LTDA,1,0
139,03706605-QUINAUAM CARNES E DERIVADOS COMERCIO LTDA,3,0
140,03706717-ASSOCIACAO DE CONSTRUCAO COMUNITARIA MARGARIDA MARIA ALVES - LESTE 1,1,0
141,03706933-CONDOMINIO DO EDIFICIO MILLENNIUM,2,0
142,03707225-CORPRAXIS COMUNICACAO HEALTHCARE LTDA.,1,0
143,03707453-VOTORANTIM INTERNATIONAL BRASIL LTDA,4,0
144,03707881-GEOCHEMICAL SOLUTIONS INTERNATIONAL - BRASIL LTDA,1,0
145,03708169-SANEJ - SANEAMENTO DE JAU LTDA,2,0
146,03708845-ASSESSORIA IMOBILIARIA ANITA GARIBALDI LTDA,3,0
147,03709225-GLOBAL 21 LTDA,2,0
148,03709380-SOL COMERCIO DE AGUAS E BEBIDAS LTDA,2,0
149,03709411-ECARD DO BRASIL LTDA.,3,0
150,03709527-BRASIL REPRESENTACOES COMERCIAIS DE CONFECCOES LTDA,2,0
151,"03709726-ACM PRODUCOES, PROMOCOES E EDICOES LTDA",2,0
152,03709902-DIRETRIZ AUDITORIA E CONSULTORIA LTDA,2,0
153,03710250-RE BIJOUX BIJOUTERIAS LTDA,2,0
154,03710547-TAHUANA TRANSPORTES OPERADORA E AGENCIA DE VIAGENS LTDA,9,0
155,03710991-CONSTRUTORA SANTA TECLA LTDA,3,0
156,"03711192-CARVALHO , CARMO E LOBATO EMPREENDIMENTOS LTDA",5,0
157,03711519-UNIDADE DE REPRODUCAO HUMANA SONOLAYER LTDA,3,0
158,03711847-ICAROPE HOTEL E TURISMO LTDA,1,0
159,03711949-HENKES MULLER & CIA.LTDA,2,0
160,03712188-RODRIGUES & RODRIGUES FILHO LTDA,2,0
161,03712275-PROPART - PARTICIPACOES SOCIETARIAS LTDA.,2,0
162,03712372-CLINICA DR. ANDRE LUIZ VERGNANINI LTDA.,2,0
163,03712426-PRODUTOS PARA MARCENARIA CASCAVEL LTDA,3,0
164,03712515-H.C ESPORTE FITNESS LTDA,2,0
165,03712541-OPTOMED LTDA.,0,2
166,03713079-ARNAUD & CO. - PESQUISAS DE MERCADO FINANCEIRO LTDA.,2,0
167,03713668-STENA SERVICES BRAZIL LTDA.,1,0
168,03713774-MIG - CHINA COMERCIO DE MAQUINAS E ASSISTENCIA TECNICA LTDA,2,0
169,03713939-MARDAM INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA,2,0
170,03714262-UNISAUD ADMINISTRADORA DE SERVICOS E PLANOS DE ASSISTENCIA A SAUDE LTDA,3,0
171,03714732-SANTOS GUEDES PARTICIPACOES LTDA,1,0
172,03714734-LOURENCO GUIMARAES PARTICIPACOES LTDA,1,0
173,03714818-CONSTRUTORA SERRA DOURADA LTDA,2,0
174,03715126-CONFRARIA DE SAO GONCALO GARCIA,2,0
175,03715168-HYDRAFORCE HYDRAULICS LTDA,2,0
176,"03715262-GATEWAY SOUTH - COMERCIO, IMPORTACAO E EXPORTACAO LTDA",2,0
177,"03715358-REALPA INDUSTRIA, COMERCIO E ARMAZENS LTDA",3,0
178,03715473-RESTNET DO BRASIL PROMOCAO E DIVULGACAO PARA HOTEIS E RESTAURANTES LTDA,3,0
179,03715674-24/7 MEDIA BRASIL LTDA,1,0
180,03715730-COTTEXPORT LTDA,1,0
181,03715746-TEXTIL SAO JOSE LTDA.,2,0
182,03715819-MECANOTECNICA DO BRASIL INDUSTRIA E COMERCIO LTDA.,2,0
183,03715931-ONDA MARINA RESTAURANTE E LANCHONETE LTDA,2,0
184,03715977-EDITORA E GRAFICA AAFIT LTDA,1,0
185,03716127-GLOBALFIM - CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA,1,0
186,03716147-IMPORT    2000 TRANSPORTADORA LTDA,1,0
187,03716162-DI THIENE - SAUDE,2,0
188,03716406-MDR - SERVICOS LTDA,4,0
189,03716557-NETENVIOS LTDA,1,0
190,03716771-PRISCILA LANGUAGE HAUSE LTDA,2,0
191,03716882-CASAFERTIL LTDA,1,0
192,03717227-NIPPONFLEX INDUSTRIA E COMERCIO DE COLCHOES LTDA.,1,0
193,03717273-DEGA COMERCIAL LTDA,3,0
194,03717341-IM PECUS INDUSTRIA E COMERCIO DE COUROS E DERIVADOS LTDA,3,0
195,03717464-FLORISVAL E IVONE MEINAO SOCIEDADE SIMPLES LTDA,3,0
196,03717609-FIRST CLASS CONSULTORIA E TREINAMENTO EM INFORMATICA S/C LTDA,6,0
197,03717625-TEAM WORK CONSULTORIA E TREINAMENTO EM INFORMATICA S/C LTDA,5,0
198,03717633-STAR POWER CONSULTORIA E TREINAMENTO EM INFORMATICA S/C LTDA.,3,0
199,03717768-RISCO BRASIL  - TECNOLOGIA E SISTEMAS LTDA,1,1
200,03717869-BARON DO BRASIL COMPONENTES ELETRONICOS LTDA,0,1
