empresa,cnpj,state,natureza_legal,quantidade_natureza_legal,total_capital,quantidade_socios
LUKRI COMPONENTES PARA CALCADOS LTDA,03724113,CE,Sociedade Empresária Limitada,14353,3.15E7,1
ADEMAR DUTRA JUNIOR SERVICOS DE INTERMEDIACAO DE VEICULOS EIRELI,03783828,AM,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.15E7,1
A C DA ROCHA EMPREENDIMENTOS EIRELI,03810261,AM,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.19E7,1
CODRASA COMERCIO E CONSTRUCOES EIRELI,03706607,RO,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.2E7,1
CONVERDE LOCACAO DE MAQUINAS E  EQUIPAMENTOS EIRELI,03823136,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.2E7,1
ELETRO TECNICA CENTRO SUL EIRELI,03714040,SC,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.3E7,1
VANJU TRANSPORTES EIRELI,03694025,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.33E7,1
TRANSPORTES PENIEL EIRELI,03697587,SC,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.4E7,1
SAMIS TUR DO BRASIL AGENCIA DE VIAGENS E TURISMO LTDA,03780520,PA,Sociedade Empresária Limitada,14353,3.4E7,1
SAO JANUARIO ESTACIONAMENTO EIRELI,03827855,SC,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.4E7,1
URSIMAR CONSTRUTORA & INCORPORADORA LTDA,03686211,SC,Sociedade Empresária Limitada,14353,3.5E7,1
QUIMIFORT INDUSTRIA E COMERCIO LTDA,03695883,SP,Sociedade Empresária Limitada,14353,3.5E7,1
FREE STYLE COMERCIO E SERVICOS EIRELI,03698120,MA,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.5E7,1
SOLDEX IMPORTACAO E EXPORTACAO EIRELI,03699004,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.5E7,1
MIGUEL F. GONCALVES EIRELI,03702355,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.5E7,1
DON VEICULOS COMERCIO E LOCADORA EIRELI,03728118,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.5E7,1
PISSININI & PISSININI LTDA,03734169,PR,Sociedade Empresária Limitada,14353,3.5E7,1
ELETRO RURAL COMERCIO E INDUSTRIA DE MATERIAIS ELETRICOS LTDA,03736052,TO,Sociedade Empresária Limitada,14353,3.5E7,1
NORGE PROJECTS EIRELI,03736454,SP,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.5E7,1
R B BRITO CONSTRUCAO E REFORMA EIRELI,03740661,PA,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.5E7,1
WOODS VIOLETA COMÉRCIO VAREJISTA DE MADEIRA E ARTEFATOS LTDA,03740761,AM,Sociedade Empresária Limitada,14353,3.5E7,1
COMEX COMERCIO IMPORTACAO E  EXPORTACAO EIRELI,03800703,GO,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.5E7,1
S.C.B. CONSTRUCOES LTDA,03810403,SC,Sociedade Empresária Limitada,14353,3.5E7,1
TRANSGUERREIRO LOCACAO E VEICULOS EIRELI,03827455,RJ,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.5E7,1
FERRONORTE IMPORTACAO E EXPORTACAO LTDA,03690909,AC,Sociedade Empresária Limitada,14353,3.55E7,1
CHICAGO DIESEL BOMBAS INJETORAS EIRELI,03709563,MG,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.6E7,1
CONSTRUTORA CONSTRUFORTE EIRELI,03807080,RR,Empresa Ind. de Resp. Limitada (Nat. Empresária),313,3.6E7,1
CICAM PARTICIPACOES E ASSESSORIA EMPRESARIAL LTDA,03823276,SP,Sociedade Empresária Limitada,14353,3.6E7,1
