empresa,cnpj,state,natureza_legal,quantidade_natureza_legal,total_capital,quantidade_socios
REPAIRING BUILDINGS CENTER LTDA,03770942,SP,Sociedade Simples Limitada,2029,1.0E5,2
BONTEMPI  SERVICOS DE APOIO ADMINISTRATIVOS LTDA.,03771153,SP,Sociedade Empresária Limitada,14353,1.0E5,2
REGIONAL AGRICOLA MR LTDA,03772767,SP,Sociedade Empresária Limitada,14353,1.0E5,2
GFR REPRESENTACOES E SERVICOS S/C LTDA,03773147,SP,Sociedade Simples Limitada,2029,1.0E5,2
J. RICARDO S/C LTDA,03775112,SP,Sociedade Simples Limitada,2029,1.0E5,2
AMAC SERVICOS EM INFORMATICA LTDA,03775534,SP,Sociedade Simples Limitada,2029,1.0E5,2
GESTAO INFORMATICA LTDA,03778911,SP,Sociedade Simples Limitada,2029,1.0E5,2
INNOVATION INFORMATICA LTDA,03778915,SP,Sociedade Simples Limitada,2029,1.0E5,2
MIDNIGHT DESENVOLVIMENTO EM INFORMATICA LTDA,03779866,SP,Sociedade Simples Limitada,2029,1.0E5,2
GONZALES INFORMATICA LTDA,03779867,SP,Sociedade Empresária Limitada,14353,1.0E5,2
LUCSS SERVICOS DE INFORMATICA LTDA,03779871,SP,Sociedade Simples Limitada,2029,1.0E5,2
F. R. M. COMERCIO E SERVICOS LTDA,03780462,SP,Sociedade Empresária Limitada,14353,1.0E5,2
GINGER.PRODUCAO DE FILMES LTDA,03781628,SP,Sociedade Simples Limitada,2029,1.0E5,2
MORALES FILHO SERVICOS DE INFORMATICA LTDA,03782931,SP,Sociedade Simples Limitada,2029,1.0E5,2
VB & DB SERVICOS LTDA,03790101,SP,Sociedade Empresária Limitada,14353,1.0E5,2
GAP DESENHOS TECNICOS LTDA,03791590,SP,Sociedade Simples Limitada,2029,1.0E5,2
CABECALHO COMUNICACOES LTDA,03795532,SP,Sociedade Simples Limitada,2029,1.0E5,2
EOG PROGRAMACAO LTDA,03798670,MG,Sociedade Simples Limitada,2029,1.0E5,2
ADS TECNOLOGIA DE INFORMACAO LTDA,03798885,MG,Sociedade Simples Limitada,2029,1.0E5,2
CASA NOVA - SERVICOS OPERACIONAIS LTDA,03798890,SP,Sociedade Simples Limitada,2029,1.0E5,2
GONZANET CONSULTORIA E ASSESSORIA EM INFORMATICA LTDA,03801007,SP,Sociedade Empresária Limitada,14353,1.0E5,2
INFOSOFT INFORMATICA LTDA,03805858,MG,Sociedade Simples Limitada,2029,1.0E5,2
CFA TECNOLOGIA DA INFORMACAO S/S LTDA.,03808457,SP,Sociedade Simples Limitada,2029,1.0E5,2
J.WORKS INFORMATICA LTDA,03808673,SP,Sociedade Empresária Limitada,14353,1.0E5,2
KOYAMA E SOARES LTDA,03809479,SP,Sociedade Empresária Limitada,14353,1.0E5,2
M.TORRESAN CONSULTORES S/C LTDA,03813491,SP,Sociedade Simples Limitada,2029,1.0E5,2
TAJA REPRESENTACOES COMERCIAIS LTDA,03815874,RS,Sociedade Empresária Limitada,14353,1.0E5,2
D AGOSTINI & ZABLONSKI S/C LTDA,03816997,SP,Sociedade Simples Limitada,2029,1.0E5,2
EDUCAMOS CONSULTORES LTDA,03817369,SP,Sociedade Empresária Limitada,14353,1.0E5,2
B. L. A. INFORMATICA LTDA,03817694,MG,Sociedade Simples Limitada,2029,1.0E5,2
GINGA INSTALACOES S/C LTDA,03819213,SP,Sociedade Simples Limitada,2029,1.0E5,2
ORLANDI CONSULTORIA EM INFORMATICA LTDA,03821008,SP,Sociedade Empresária Limitada,14353,1.0E5,2
ONO SERVICOS DE INFORMATICA LTDA,03821010,SP,Sociedade Empresária Limitada,14353,1.0E5,2
SENAMED SERVICOS MEDICOS S/S LTDA,03822407,SP,Sociedade Simples Limitada,2029,1.0E5,2
REMOCOES DE AUTOS TAFA'S S/C LTDA,03825093,SP,Sociedade Simples Limitada,2029,1.0E5,2
EMPRESA JORNALISTICA O CIDADAO S/S LTDA,03826330,SP,Sociedade Simples Limitada,2029,1.0E5,2
ACB - REPRESENTACOES LTDA,03827561,SP,Sociedade Empresária Limitada,14353,1.0E5,2
MEGATEC - PLANEJAMENTO INDUSTRIAL LTDA,03828616,SP,Sociedade Empresária Limitada,14353,1.0E5,2
MARINANGELO & MARINANGELO LIMITADA,03828640,SP,Sociedade Empresária Limitada,14353,1.0E5,2
OFICINA DE TORNO E PLAINA ARAKAWA LTDA,03829575,SP,Sociedade Empresária Limitada,14353,1.0E5,2
JESCON ASSESSORIA CONTABIL LTDA,03829788,SP,Sociedade Simples Limitada,2029,1.0E5,2
ARTE INFORMATICA E SERVICOS LTDA,03830378,MG,Sociedade Simples Limitada,2029,1.0E5,2
RM SISTEMAS S.S.LTDA,03831801,SP,Sociedade Simples Limitada,2029,1.0E5,2
SOUZA & GUERRERO LTDA,03832386,SP,Sociedade Empresária Limitada,14353,1.0E5,2
JR COLOCACOES S/C LTDA,03832512,SP,Sociedade Simples Limitada,2029,1.0E5,2
SERVICO TECNICO DE RADIOLOGIA LTDA,03832724,SP,Sociedade Simples Limitada,2029,1.0E5,2
CENTRO DE APRENDIZAGEM CARVALHO HARA LTDA,03753300,SP,Sociedade Empresária Limitada,14353,1.002E5,2
ARHO CONSULTORIA E PARTICIPACOES LTDA,03690313,SP,Sociedade Empresária Limitada,14353,1.12E5,2
INFO LOGIC INFORMATICA LTDA,03723771,SP,Sociedade Empresária Limitada,14353,1.2E5,2
L.C.MOTA INFORMATICA LTDA,03727544,SP,Sociedade Empresária Limitada,14353,1.2E5,2
C. M. REGO INFORMATICA LTDA,03751902,SP,Sociedade Empresária Limitada,14353,1.2E5,2
CHIYOKO INFORMATICA LTDA,03766541,SP,Sociedade Empresária Limitada,14353,1.2E5,2
BEM SERVIR IMPERMEABILIZACAO E CONSTRUCAO LTDA,03770589,SP,Sociedade Empresária Limitada,14353,1.2E5,2
G.L. REPRESENTACOES LTDA,03774124,MG,Sociedade Simples Limitada,2029,1.2E5,2
A. C. TEC PLUS INFORMATICA LTDA,03783942,SP,Sociedade Simples Limitada,2029,1.2E5,2
G.M.S INSTALACOES S/C LTDA,03791917,SP,Sociedade Simples Limitada,2029,1.2E5,2
AMSSOFT INFORMATICA S/C. LTDA,03799838,SP,Sociedade Simples Limitada,2029,1.2E5,2
HELENO & PARPINELLI INFORMATICA S/S LTDA,03799896,SP,Sociedade Simples Limitada,2029,1.2E5,2
C. S. MENOZZI INFORMATICA LIMITADA,03802054,SP,Sociedade Empresária Limitada,14353,1.2E5,2
BENDASOLI SAHD INFORMATICA LTDA,03802114,SP,Sociedade Empresária Limitada,14353,1.2E5,2
GARCIA & BEM INFORMATICA LTDA,03808608,SP,Sociedade Empresária Limitada,14353,1.2E5,2
KEIKO & MAURO ASSESSORIA EM INFORMATICA LTDA,03808660,SP,Sociedade Simples Limitada,2029,1.2E5,2
MOMBERG INFORMATICA LTDA,03817420,SP,Sociedade Empresária Limitada,14353,1.2E5,2
OMNIA VINCIT INFORMATICA LTDA,03817423,SP,Sociedade Empresária Limitada,14353,1.2E5,2
DAG TECNOLOGIA INFORMATICA LTDA,03817427,SP,Sociedade Empresária Limitada,14353,1.2E5,2
C.M SIGLA ASSESSORIA E CONSULTORIA EM INFORMATICA LTDA,03822556,SP,Sociedade Empresária Limitada,14353,1.2E5,2
SPECNET SOLUCOES EM INFORMATICA LTDA,03825207,SP,Sociedade Empresária Limitada,14353,1.2E5,2
ALA SERVICOS DE PORTARIA SS LTDA,03831839,SP,Sociedade Simples Limitada,2029,1.2E5,2
MCLO SERVICOS MEDICOS LTDA,03832806,SP,Sociedade Simples Limitada,2029,1.2E5,2
J. A. O. CONSULTORIA E TREINAMENTOS LTDA,03796817,MG,Sociedade Simples Limitada,2029,1.4E5,2
FUNES & ACAYABA SOCIEDADE SIMPLES LTDA,03760850,SP,Sociedade Simples Limitada,2029,1.5E5,2
IRMAOS FAGUNDES S/S LTDA,03690749,SP,Sociedade Simples Limitada,2029,1.8E5,2
YANAGISAWA E MARRA ADVOGADOS,03704849,SP,Sociedade Simples Pura,219,1.8E5,2
BORGES & FERNANDES CONSULTORIA DA INFORMACAO LTDA,03783876,SP,Sociedade Empresária Limitada,14353,1.8E5,2
COSSO ADVOGADOS,03809890,SP,Sociedade Simples Pura,219,1.8E5,2
MICRO MED SERVICOS MEDICOS S/S,03828681,SP,Sociedade Simples Pura,219,1.8E5,2
SPERANZINI CONSULTORES E ASSOCIADOS LTDA,03684335,SP,Sociedade Empresária Limitada,14353,2.0E5,2
FABIO PUENTES - PRESTACAO DE SERVICOS EM EVENTOS CULTURAIS LTDA,03684536,SP,Sociedade Empresária Limitada,14353,2.0E5,2
CLINICA PEDIATRICA DR. MAURICIO E DRA. VERA MENDONCA S/S,03684551,SP,Sociedade Simples Pura,219,2.0E5,2
GIF CENTRO DE REFERENCIA TURISTICA LTDA,03684746,MG,Sociedade Empresária Limitada,14353,2.0E5,2
MED CONSULT - ADMINISTRACAO LTDA,03685027,SP,Sociedade Simples Limitada,2029,2.0E5,2
BUG PECAS AUTOMOTIVAS LTDA - M. E,03685029,MG,Sociedade Empresária Limitada,14353,2.0E5,2
RESTAURANTE SANTO ANTONIO COMERCIO DE REFEICOES LTDA,03685176,SP,Sociedade Empresária Limitada,14353,2.0E5,2
NET & SYS CONSULTORIA EM EDUCACAO TECNOLOGIA E INFORMATICA LTDA,03685333,SP,Sociedade Empresária Limitada,14353,2.0E5,2
YEDA ADVOGADOS ASSOCIADOS,03685337,SP,Sociedade Simples Limitada,2029,2.0E5,2
CLINICA DR. MARCELO COELHO LTDA,03685573,SP,Sociedade Simples Limitada,2029,2.0E5,2
F PRADO PRESTACAO DE SERVICOS SC LTDA,03686905,SP,Sociedade Simples Limitada,2029,2.0E5,2
AQUANTI LTDA,03686910,MG,Sociedade Empresária Limitada,14353,2.0E5,2
JFHM REPRESENTACOES LTDA,03686911,SP,Sociedade Empresária Limitada,14353,2.0E5,2
ACAO CRIANCA FELIZ TELEMARKETING LTDA,03687348,SP,Sociedade Empresária Limitada,14353,2.0E5,2
TERMTRAT CONSULTORES E REPRESENTANTES S/S LTDA,03687638,SP,Sociedade Simples Limitada,2029,2.0E5,2
DM COMUNICACAO E EDITORACAO LTDA,03687790,SP,Sociedade Empresária Limitada,14353,2.0E5,2
AGUAS DE ITAI RECURSOS NATURAIS LTDA.,03687817,SP,Sociedade Empresária Limitada,14353,2.0E5,2
MAC SENA S/S,03687918,PR,Sociedade Simples Pura,219,2.0E5,2
MOTO TAXI RAPIDINHO LTDA,03687935,MG,Sociedade Empresária Limitada,14353,2.0E5,2
RAPIDEZ TELEATENDIMENTO LTDA,03687956,MG,Sociedade Empresária Limitada,14353,2.0E5,2
IPEN INSTITUTO DE PEDIATRIA E NEUROLOGIA PAULISTA LTDA,03687983,SP,Sociedade Simples Limitada,2029,2.0E5,2
FORWARD CONSULTORIA LTDA,03688428,MG,Sociedade Empresária Limitada,14353,2.0E5,2
EMPREITEIRA BATISTA & CASTRO LTDA,03688521,SP,Sociedade Simples Limitada,2029,2.0E5,2
ALUMI FER ESQUADRIAS METALICAS LTDA,03688555,SP,Sociedade Empresária Limitada,14353,2.0E5,2
PINHEIRO & PINHEIRO - REPRESENTACOES COMERCIAIS LTDA,03688594,SP,Sociedade Simples Limitada,2029,2.0E5,2
BZ REPRESENTACOES LTDA,03689289,RS,Sociedade Empresária Limitada,14353,2.0E5,2
DR TEEVE RABINOVICI OTORRINOLARINGOLOGIA LTDA,03689407,SP,Sociedade Simples Limitada,2029,2.0E5,2
FERNANDO CESAR LIPORACI DA SILVA & CIA LTDA,03689641,SP,Sociedade Empresária Limitada,14353,2.0E5,2
DROPS DESIGN GRAFICO LTDA,03689856,SP,Sociedade Empresária Limitada,14353,2.0E5,2
MN PIMENTEL DESENHOS TECNICOS LTDA,03689972,SP,Sociedade Empresária Limitada,14353,2.0E5,2
WRJ DESENVOLVIMENTO DE SOFTWARE LTDA,03689996,SP,Sociedade Empresária Limitada,14353,2.0E5,2
PETROKARDOS REPRESENTACOES COMERCIAIS LTDA,03690063,SP,Sociedade Empresária Limitada,14353,2.0E5,2
ATLANTICOM INFORMATICA LTDA,03690219,SP,Sociedade Empresária Limitada,14353,2.0E5,2
ACF ORGANIZACAO DE ATIVIDADES ESPORTIVAS LTDA,03690550,SP,Sociedade Empresária Limitada,14353,2.0E5,2
ENGENDRA CONSULTORIA E ASSESSORIA LTDA,03690969,RJ,Sociedade Empresária Limitada,14353,2.0E5,2
FUJINAMI PRODUCOES LTDA,03691088,SP,Sociedade Empresária Limitada,14353,2.0E5,2
C V P - CENTRO DE VIVENCIA PSICOLOGICA LTDA,03691158,MG,Sociedade Empresária Limitada,14353,2.0E5,2
MARCOS CARVALHO CONSULTORIA DE NEGOCIOS LTDA,03691366,RJ,Sociedade Empresária Limitada,14353,2.0E5,2
MIX BR COMERCIAL LTDA,03691575,SP,Sociedade Empresária Limitada,14353,2.0E5,2
D. CABRAL & CABRAL S/C LTDA,03692096,SP,Sociedade Simples Limitada,2029,2.0E5,2
ATG AUTOMACAO LTDA,03692408,SP,Sociedade Simples Limitada,2029,2.0E5,2
SHOPMEDIA SERVICOS ON LINE LTDA,03693130,SP,Sociedade Empresária Limitada,14353,2.0E5,2
INTERMEDIACOES TORONTO SS LTDA,03693240,SP,Sociedade Simples Limitada,2029,2.0E5,2
APS - REPRESENTACAO DE ALIMENTICIOS LTDA,03693405,GO,Sociedade Empresária Limitada,14353,2.0E5,2
NOVA ONDA COMUNICAO & MARKETING LTDA,03693471,SE,Sociedade Empresária Limitada,14353,2.0E5,2
CLINICA CARLOS ALBERTO SANTOS DE OLIVEIRA LTDA,03693535,SP,Sociedade Simples Limitada,2029,2.0E5,2
W.F.C INFORMATICA E IDIOMAS S/S LTDA,03693556,SP,Sociedade Simples Limitada,2029,2.0E5,2
DISKART'S REPRESENTACOES LTDA,03693562,MG,Sociedade Simples Limitada,2029,2.0E5,2
MACRINA REPRESENTACOES LTDA,03694150,SP,Sociedade Simples Limitada,2029,2.0E5,2
J. O. SARTORI COMERCIO E REPRESENTACOES LTDA,03694511,RS,Sociedade Empresária Limitada,14353,2.0E5,2
PRALA PRAKA TRANSPORTES LTDA,03695964,SP,Sociedade Empresária Limitada,14353,2.0E5,2
BORGES & SANTOS CONSTRUCAO CIVIL LTDA,03695999,SP,Sociedade Empresária Limitada,14353,2.0E5,2
MAEEND REPRESENTACOES LTDA,03696264,MG,Sociedade Simples Limitada,2029,2.0E5,2
A.S. REPRESENTACAO COMERCIAL LTDA,03697241,SP,Sociedade Empresária Limitada,14353,2.0E5,2
TERMICUS MANUTENCOES DE MAQUINAS LTDA,03697408,SP,Sociedade Empresária Limitada,14353,2.0E5,2
LICEU JOSE DE ALENCAR LTDA.,03697983,SP,Sociedade Empresária Limitada,14353,2.0E5,2
SIDE TECNOLOGIA EM INFORMATICA LTDA,03698162,SP,Sociedade Empresária Limitada,14353,2.0E5,2
MTDO SERVICOS ADMINISTRATIVOS LTDA,03698275,SP,Sociedade Empresária Limitada,14353,2.0E5,2
MACHADO & CARDOSO SERVICOS MEDICOS E ODONTOLOGICOS LTDA,03698387,SE,Sociedade Empresária Limitada,14353,2.0E5,2
POLO DE COMUNICACAO LTDA,03698390,SP,Sociedade Simples Limitada,2029,2.0E5,2
NEUROHEALTH LIMITADA,03698439,SP,Sociedade Simples Limitada,2029,2.0E5,2
TELEMARK MINAS LIMITADA,03698454,MG,Sociedade Simples Limitada,2029,2.0E5,2
CLOROFILA COMERCIO DE ALIMENTOS ERVANARIA,ESPECIARIAS E CONVENIENCIAS LTDA,03698467,GO,Sociedade Empresária Limitada,14353,2.0E5,2
PSI FINANCE ASSESSORIA E CONSULTORIA LTDA,03698607,SP,Sociedade Simples Limitada,2029,2.0E5,2
CLINICA GINECOLOGICA VINCENZO D'APPOLLONIO LTDA,03698841,SP,Sociedade Simples Limitada,2029,2.0E5,2
BRUNIRO'S SERVICOS LTDA,03699062,SP,Sociedade Empresária Limitada,14353,2.0E5,2
JOCIMARIA ENSINO FUNDAMENTAL LTDA,03699111,PE,Sociedade Empresária Limitada,14353,2.0E5,2
JAH SAMA INTERMEDIACAO E AGENCIAMENTO DE SERVICOS LTDA,03699221,PR,Sociedade Empresária Limitada,14353,2.0E5,2
L.M.D.M. ASSESSORIA EM SUPRIMENTOS LTDA,03699265,SP,Sociedade Empresária Limitada,14353,2.0E5,2
TARALLO - SERVICOS MEDICOS S/S,03699423,SP,Sociedade Simples Pura,219,2.0E5,2
NEURO ASSISTENCIA MEDICA LTDA,03699554,SP,Sociedade Simples Limitada,2029,2.0E5,2
FERLUC SERVICOS LTDA,03699747,MG,Sociedade Empresária Limitada,14353,2.0E5,2
PONTE URBANA SERVICOS PRODUTORA E GRAVACAO DE VIDEO SS LTDA,03699767,SP,Sociedade Simples Limitada,2029,2.0E5,2
CW PISANI GEOLOGIA MINERACAO E MEIO AMBIENTE LTDA,03699786,MG,Sociedade Simples Limitada,2029,2.0E5,2
LAZER & AVENTURA TURISMO DE SAO JOAO DEL REI LTDA,03699789,MG,Sociedade Empresária Limitada,14353,2.0E5,2
PROJECT ARTES GRAFICAS E COMPUTACAO S/S LTDA,03700444,SP,Sociedade Simples Limitada,2029,2.0E5,2
LEITE E LEITE - ADVOGADOS ASSOCIADOS,03700708,SP,Sociedade Simples Pura,219,2.0E5,2
RASEC INFORMATICA S/C LTDA,03700921,SP,Sociedade Simples Limitada,2029,2.0E5,2
NIL DESPACHANTE LTDA,03700974,SP,Sociedade Simples Limitada,2029,2.0E5,2
ASLM REPRESENTACOES COMERCIAIS LTDA,03700991,SP,Sociedade Simples Limitada,2029,2.0E5,2
INPUT SYSTEM SERVICOS DE INFORMATICA LTDA,03701152,SP,Sociedade Empresária Limitada,14353,2.0E5,2
VERMELHO ARQUITETURA S/S LTDA,03701244,SP,Sociedade Simples Limitada,2029,2.0E5,2
JCE REPRESENTACOES COMERCIAIS LTDA,03701274,SP,Sociedade Empresária Limitada,14353,2.0E5,2
PAPA & PAPA COMERCIO E SERVICOS DE MECANICA FUNILARIA E PINTURA LTDA,03701441,SP,Sociedade Empresária Limitada,14353,2.0E5,2
CLINICA MEDICA DR. EDUARDO MINDLIN SERSON,03701452,SP,Sociedade Simples Pura,219,2.0E5,2
F.A.C.F.M. REPRESENTACOES LTDA,03701761,RN,Sociedade Empresária Limitada,14353,2.0E5,2
BONAUTO MOTORS LTDA.,03702493,RS,Sociedade Empresária Limitada,14353,2.0E5,2
CLIMPEBE - CLINICA MEDICA E PSICOTECNICA DE BOA ESPERANCA LTDA,03702568,MG,Sociedade Simples Limitada,2029,2.0E5,2
RISCOZERO ENGENHARIA LTDA,03702985,RS,Sociedade Simples Limitada,2029,2.0E5,2
PNM-ORGANIZACAO DE EVENTOS LTDA,03703698,SP,Sociedade Empresária Limitada,14353,2.0E5,2
ACTIVA CONSULTORIA DE COMUNICACAO EMPRESARIAL LTDA,03703713,SP,Sociedade Simples Limitada,2029,2.0E5,2
AWB OUTSOURCING SISTEMAS E CONSULTORIA INTERNACIONAL LTDA,03704542,SP,Sociedade Empresária Limitada,14353,2.0E5,2
RPB INFORMATICA LTDA,03704560,MG,Sociedade Simples Limitada,2029,2.0E5,2
REGINA VEIGA EVENTOS LTDA,03704927,SP,Sociedade Empresária Limitada,14353,2.0E5,2
CLINICA DRA. ROSANA BERNARDES RAMOS LTDA,03706467,SP,Sociedade Simples Limitada,2029,2.0E5,2
CLINICA JARDIM AGU DE ORTOPEDIA E TRAUMATOLOGIA S/S LTDA,03706508,SP,Sociedade Simples Limitada,2029,2.0E5,2
SOMOS NOS EMPREITEIRA DE MAO DE OBRA LTDA,03706549,SP,Sociedade Empresária Limitada,14353,2.0E5,2
CLINICA GLOBAL S/S LTDA,03707330,SP,Sociedade Simples Limitada,2029,2.0E5,2
NUCLEO DE ESTUDOS E TERAPIA DE FAMILIA LTDA,03707694,SP,Sociedade Simples Limitada,2029,2.0E5,2
W. S. REPRESENTACOES S/S LTDA,03707979,SP,Sociedade Simples Limitada,2029,2.0E5,2
TUIN REPRESENTACAO COMERCIAL LTDA,03708011,SP,Sociedade Empresária Limitada,14353,2.0E5,2
ELETROTECNICA W. S. LTDA,03708420,SC,Sociedade Empresária Limitada,14353,2.0E5,2
MONTE SINAI SERVICO EXPRESSO LTDA,03708657,RJ,Sociedade Simples Limitada,2029,2.0E5,2
SERGIO CIMERMAN INFECTOLOGIA S/S LTDA,03709170,SP,Sociedade Simples Limitada,2029,2.0E5,2
IMAGE CONSULTORIA E ASSESSORIA S/C LTDA,03709436,SP,Sociedade Simples Limitada,2029,2.0E5,2
W&W PARK ESTACIONAMENTO S/C LTDA,03709778,SP,Sociedade Simples Limitada,2029,2.0E5,2
SAVATI SOLUCOES TECNOLOGICAS LTDA,03709831,SP,Sociedade Empresária Limitada,14353,2.0E5,2
CLINICA SAO PAULO S/S LTDA,03710094,SP,Sociedade Simples Limitada,2029,2.0E5,2
NETWORK COMPUTING S/C LTDA,03710138,SP,Sociedade Simples Limitada,2029,2.0E5,2
GSN APOIO EM TECNOLOGIA DE INFORMACAO LTDA,03710289,RJ,Sociedade Simples Limitada,2029,2.0E5,2
BRUMATH PAPELARIA & INFORMATICA LTDA,03710329,SP,Sociedade Empresária Limitada,14353,2.0E5,2
ASGRAF CONSULTORIA E DESIGN LTDA,03710345,RJ,Sociedade Empresária Limitada,14353,2.0E5,2
SANTOS & RUFATO SERVICOS DE INFORMATICA S/C LTDA,03710413,SP,Sociedade Simples Limitada,2029,2.0E5,2
RCB PRESTACAO DE SERVICOS LTDA,03710573,MG,Sociedade Simples Limitada,2029,2.0E5,2
OLIVEIRA MANUTENCAO E OPERACOES INDUSTRIAIS S/S LTDA,03710799,SP,Sociedade Simples Limitada,2029,2.0E5,2
CLINICA DE GINECOLOGIA E OBSTETRICIA NATIVITA S/S,03711461,SP,Sociedade Simples Pura,219,2.0E5,2
CLINICA DE GINECOLOGIA E OBSTETRICIA NOVA VIDA LTDA,03711517,SP,Sociedade Simples Limitada,2029,2.0E5,2
PASSAGES IDIOMAS S/C LTDA,03712251,SP,Sociedade Simples Limitada,2029,2.0E5,2
EDITORA LIMIAR LTDA,03712330,SP,Sociedade Empresária Limitada,14353,2.0E5,2
GASTROCLINIC - GASTROENTEROLOGIA E ENDOSCOPIA DIGESTIVA LTDA,03712354,SP,Sociedade Empresária Limitada,14353,2.0E5,2
MONTECH INFORMATICA LTDA,03712499,SP,Sociedade Empresária Limitada,14353,2.0E5,2
RIGON INFORMATICA LTDA,03712531,SP,Sociedade Empresária Limitada,14353,2.0E5,2
CLINICA DERMATOLOGICA MASSELLA LTDA,03712555,SP,Sociedade Simples Limitada,2029,2.0E5,2
NET-FOR-ALL COMERCIO INFORMATICA E TECNOLOGIA LTDA,03712839,SP,Sociedade Empresária Limitada,14353,2.0E5,2
LRMAZ PRESTACAO DE SERVICOS LTDA,03713348,MG,Sociedade Empresária Limitada,14353,2.0E5,2
BOGORICIN IMOVEIS LTDA,03713551,RJ,Sociedade Simples Limitada,2029,2.0E5,2
I C M REPRESENTACOES DE FERRAMENTAS LTDA,03714363,SP,Sociedade Empresária Limitada,14353,2.0E5,2
CLINICA DENTARIA ISABEL W. DAMASCENO LTDA,03714399,RJ,Sociedade Simples Limitada,2029,2.0E5,2
J & C PUBLICIDADE S/S LTDA,03714616,SP,Sociedade Simples Limitada,2029,2.0E5,2
NAM - ESCOLA DE IDIOMAS S/C LTDA,03714765,SP,Sociedade Simples Limitada,2029,2.0E5,2
JANDERSON REPRESENTACOES LTDA,03714793,SP,Sociedade Simples Limitada,2029,2.0E5,2
SPOSITO-SOLUCOES E SERVICOS LTDA,03714874,SP,Sociedade Empresária Limitada,14353,2.0E5,2
KATER CONSULTORIA DE ENGENHARIA CIVIL LTDA,03715239,SP,Sociedade Simples Limitada,2029,2.0E5,2
E & J - SERVICOS DE CONSULTORIA E ASSESSORIA ESTATISTICA LTDA,03715317,MG,Sociedade Simples Limitada,2029,2.0E5,2
BASIC PREV CORRETORA DE SEGUROS LTDA,03715391,SP,Sociedade Empresária Limitada,14353,2.0E5,2
AUREO J. MOREIRA REPRESENTACOES S/S LTDA,03715636,SP,Sociedade Simples Limitada,2029,2.0E5,2
TAKESHI JUMONJI CONSULTORES LTDA,03715658,SP,Sociedade Simples Limitada,2029,2.0E5,2
PRIORITY TREINAMENTOS E SERVICOS ADMINISTRATIVOS LTDA.,03715692,SP,Sociedade Simples Limitada,2029,2.0E5,2
SAO PAULO RAPIDO DELIVERY S/S LTDA,03716051,SP,Sociedade Simples Limitada,2029,2.0E5,2
CAPOZIO & CAPOZIO BORRACHARIA LIMITADA,03716153,SP,Sociedade Empresária Limitada,14353,2.0E5,2
MISSION CORRETORA DE SEGUROS LTDA,03716548,SP,Sociedade Empresária Limitada,14353,2.0E5,2
FILMAM SERVICOS ADMINISTRATIVOS LTDA,03716605,SP,Sociedade Empresária Limitada,14353,2.0E5,2
UNICLINICAS SERVICOS MEDICOS SS LTDA,03716847,PR,Sociedade Simples Limitada,2029,2.0E5,2
CLINICA DE SAUDE LEONARDI BERTAZZI LTDA,03717165,SP,Sociedade Empresária Limitada,14353,2.0E5,2
REGMAR S/C LTDA,03717213,SP,Sociedade Simples Limitada,2029,2.0E5,2
PC INFOR LTDA,03717420,MG,Sociedade Simples Limitada,2029,2.0E5,2
TKR MAIS! PRODUCOES EVENTOS E PRESTACAO DE SERVICOS LTDA,03717435,SP,Sociedade Empresária Limitada,14353,2.0E5,2
DH SISTEMAS LTDA,03717858,SP,Sociedade Empresária Limitada,14353,2.0E5,2
VETECH CONSULTORIA LTDA,03717883,RJ,Sociedade Simples Limitada,2029,2.0E5,2
MOLINARI REPRESENTACOES LTDA,03717913,MG,Sociedade Simples Limitada,2029,2.0E5,2
FENIX  - ASSISTENCIA MEDICA ESPECIALIZADAS S/S,03718382,SP,Sociedade Simples Pura,219,2.0E5,2
PERUIBEONLINE PROCESSAMENTO DE DADOS LTDA,03718446,SP,Sociedade Empresária Limitada,14353,2.0E5,2
PROARM ENGENHARIA LTDA,03718485,MG,Sociedade Simples Limitada,2029,2.0E5,2
MUNICIPIO DIGITAL CONSULTORIA LTDA,03718513,SP,Sociedade Simples Limitada,2029,2.0E5,2
RLEITE ASSESSORIA E TREINAMENTO LTDA,03718627,MG,Sociedade Simples Limitada,2029,2.0E5,2
INSIDE HOME SPA S/S LTDA,03718965,SP,Sociedade Simples Limitada,2029,2.0E5,2
ESCOLINHA SOL CRIANCA DE EDUCACAO INFANTIL LTDA,03718975,SP,Sociedade Empresária Limitada,14353,2.0E5,2
SHIRLEY & REMEGILDO - G.O - LTDA,03719649,ES,Sociedade Empresária Limitada,14353,2.0E5,2
C.E. EMPREITEIRA LTDA,03719700,SP,Sociedade Simples Limitada,2029,2.0E5,2
SERRANO E VEIGA SERVICOS DE MAO DE OBRA PARA CONTRUCAO CIVIL LTDA,03719728,SP,Sociedade Simples Limitada,2029,2.0E5,2
MARCUS VINICIUS CAPOBIANCO DOS SANTOS E ADVOGADOS ASSOCIADOS,03719742,MG,Sociedade Simples Pura,219,2.0E5,2
3PLUS SERVICOS ADMINISTRATIVOS LTDA,03719745,RJ,Sociedade Empresária Limitada,14353,2.0E5,2
C. R. .L. SISTEMAS LTDA,03719752,SP,Sociedade Empresária Limitada,14353,2.0E5,2
ESHIOTA SISTEMAS DE INFORMATICA LTDA,03719860,SP,Sociedade Empresária Limitada,14353,2.0E5,2
A.F.CONSULTORIA TECNICA EM INFORMATICA LTDA,03720300,SP,Sociedade Empresária Limitada,14353,2.0E5,2
ASV PROJETOS E COMPUTACAO GRAFICA LTDA,03720685,MG,Sociedade Simples Limitada,2029,2.0E5,2
